Comment,Number
Faire la prélogie de Star Wars ou finir la trilogie originale pourrait être drôle pour les raisons suivantes :,4
"Le retour du Jedi = mission bancale, love story illogique (han accepte de sortir avec une meuf qui a embrassé son frère), guerre qui se termine grâce à des peluches....",4
"La prélogie = Anakin, pitié, c'est EVIDENT que ce gars est pas net !!",2
Tahiti Bob ! Mais tellement mdr.,5
"""Fous moi le camp Tahiti Bob 😭😭😭",5
pourquoi peur a un giga accent Liegois ???😭,2
Docteur Strange 2 ou Pirates des Caraïbes 5,5
Fait Inglourious bastard ou fury,5
Mégamide serait pas mal pour la prochaine fois.,3
C'était une vidéo trop coooool,2
"Vu le film dans l'avion à mon retour auj', enfin !",5
😂,5
Ça serait trop bien que tu fasses spaceball,3
Venom 2 ???,1
Mary Poppins,5
Les Noces funébres,5
1:27 dans mon livre degout est soit martiniquaise ou ivoirienne.,1
Il faut finir twilight un jour 😭,5
Très très bon épisode Math! Tous les personnages sont joués à merveille 👌🏻,5
J'aimerai tellement que tu en fasses sur Free Guy.,5
❤,5
"QUI, avant l'adolescence, a déjà ressenti l'anxiété, l'envie, l'ennui (ou flemme) l'embarras et la nostalgie ?? TOUT LE MONDE MDRRRR !!!!!🙄",2
"Le ""fou moi le camp Tahiti Bob"" m'as a.che.vé 😭😭🤣🤣🤣",3
"bon c'est cool de faire des films récents et populaires, mais pour le coup chui pas vraiment convaincu qu' un film qui est encore diffuse au ciné soit le meilleur choix, c'est pas tt le monde qui aime aller au ciné , qui en ont un proche de chez eux, ou simplement les moyens, là ça relève plus du spoil qu'autre chose et c'est dommage je trouve, je dis pas de faire que des vieux films mais au moins attendre 6mois-1an comme ça tt le monde peut en profiter pareiil",3
"Franchement pour anxiété, c'est étonnant qu'il soit arrivé aussi tard chez Riley, parce que déjà dans le 1er film, il pouvait être là tout le temps. Bien que ce soit sympa de voir des nouvelles émotions arrivé au moment de l'adolescence (comme cela est illustré) c'est vrai que c'est toujours un peu forcé aussi. Oui, tu es un peu inconstant et pas forcement bien dans ta peau, mais là...cela se passe en l'espace de 3 jours quoi...comme tu le soulignes, cela fait longtemps que cette gosse aurait du aller voir un psy pour voir s'il y avait pas un traitement à mettre en place pour son trouble de la personnalité <.< En tous cas, superbe vidéo pour la rentrée et j'ai hâte de voir les prochaines ^^",3
"Ce que je comprends pas c'est comment les émotions peuvent avoir des émotions ? C'est a dire que Joie peut etre anxieuse, etre triste, etc...",2
le comte de Montecristo !!!,5
Wow c'est débile ou c'est moi qui n'accroche plu à l'humour de math ?,1
les premières règles par le nez 😭😭,4
Il faut terminer la trilogie de the hobbit !!,3
"les blagues sur raël, je chiale",1
*POUR LE PROCHAIN MSF* : Megamind ce film a énormément de matière à souillage,1
J'ai pleurer de rire tellement ct incroyable ❤😂,5
10:04 le fous rire 🤣,1
Je l'attendais celui la! C'est clair que Vice versa c'est le meilleur des pixars alors merci de l'avoir parodier. Comme d'habitude c'était super !,3
eeeeeeeeeennnnnnnnnnfffffffffffffffiiiiiiiiiinnnnnnnnnnnnnnnnnnnnnnnnn,1
Comment ça sa voit que ce film ta énervé 🤣,5
Génial,5
Super vidéo tu pourrais faire the boy,5
Je n'ai jamais vu vice et versa et Franche ça me tente pas du tout et le deux encore moins  😂,2
OMG Raelle xD je pleure de rire,3
Tu peux faire deapool et wolverine,5
Faut faire la série « les anneaux de pouvoir » 😂,3
tu peux faire les Descendants stp ( c'est des Disney),5
Deadpool et Wolverine s'il te plaît <3,3
Tu l'as mis dans ton 200eme épisode. Pourquoi pas pulp fiction un classique du genre ou reservoir dogs qui ferait une bonne parodie !,5
On attend toujours notre chocolat 😂🍫,5
Alerte rouge est juste enorme !,5
Incroyable,5
High school musical 2 !!!,5
Django 🎉🎉🎉🎉🎉🎉,5
"yo math, déjà super video comme d'hab, et si je peux me permettre une requête de film, je dirais Fight Club, ça serait vachement chouette dis donc 😁",3
"6:18, bah alors, on met des bretelles de soutien gorges dans ses perruques ? ah ah ah",2
"Ce film était si magique, j’ai adoré 😭",5
J'aimerai voi un petit fallout comme tu a fais avec squid game,4
C'était vraiment un bonne vidéo ❤❤,5
6:03 je chiaaale,1
"Je hais tristesse, je la hais !",1
Spiderman de Sam Rémy,4
Le corsaire rouge,5
💕,5
Bref Riley devient Borderline,3
"Bohemian Rhapsody avait déjà été mentionné comme possibilité, je trouve qu’un biopic musical ça serait sympa :) (puis juste les costumes mdr)",3
J'aimerais bien mister babadook ou barbarian 😊,4
L’émotion nordvpn je l’avais pas vu venir,5
"J'ai détesté le 1 er vice versa, je n'irai pas voir le 2 😅😅, ma fille pareil 😅",2
c'était trop drôle merci de nous faire pleuré de rire à chaque fois ! 😂,1
il a placé zoo de kaaris je suis mort,1
On est pas censée ne pas avoir de pubs sur une vidéo sponsorisée?,1
Est ce qu’il serait possible de faire Bullet Train s’il te plaît ?,3
Et d’ailleurs pour mon plus grand plaisir y a même probablement un Cars 4 en préparation ☺️☺️,5
Wall-E !!!!!!!!!!!,5
Spider-man accross the spider-verse,5
je reve de voir math faire Hocus pocus dans la peau de nos cher sœurs Saderson  de plus nous arrivons pile dans la saison pour ca,5
2:44 je suis quelqu'un de ✨SeRViAblE et D'orDOnNée✨Attention aux✨GRos moTS Papa✨ Moi je suis quelqu'un de ✨PoliE✨,2
tjr un classic vice versa quand c'est math qui en parle continue les parodies ❤,5
Destination finale 4,4
"Chaud de fou pour des films d'horreurs, ça donne certains des meilleurs msf",5
"Et aussi certains vieux films genre les Rockys, Terminators, tout ça",5
Pour resté dans les suites retour vers le future ou maman j' ai raté l' avion,3
et bah ça ne donne pas envie de voir le film xD,2
"le (vrai) Spider-Man, celui de 2002 ! 😍",5
Donc on parle pas du fait qu’elle entre par effraction dans le bureau de la coach en plaine nuit ? Ok 😂,2
"« L’émotion Nord VPN », t’es un tueur mec jte jure😂😂😂",1
un bon vieux cars frnchement,4
Forest Gump !,5
Shrek 2,4
Perso un bon vieux 5 eme élément 😂 beetlejuice 🧟‍♂️,5
Un Jour sans Fin,5
Rasta Rocket,1
Je donne tout pr un jour avoir Arthur et les Minimoys...,5
c'est géniale vice versa 2 et j'est adoré cette vidéo la et j'adore anxiété dans vice versa 2 et j'adore joie dans vice versa 2 aussi et j'adore riley dans vice versa 2 et c'était géniale vice versa 2 au cinéma,5
Tu devrais faire Madam Web 😊🤣,5
"3:26 C'était mérité, merci.",5
Joyeux 201ème  non ?,1
j'adore,5
"""lycée""... Sacrément tardive la puberté",3
"Pour quelqu'un qui souffre d'anxiété depuis des années je trouve ce film d'une belle sensibilité, de nombreux proches dans le même cas ont pleuré devant le film. Il est devenu un de mes films préférés",4
J'adore ton costume de peur !!!,5
Emilia Pérez,4
Emilia Pérez,4
Cette suite à l'air encore plus f*cked up et flippante que le premier film.,5
Les Hunger Games !,5
"J'adore, comme d'habitude",5
Ce que je retiens : le costume de Peur 😂😂😂,5
Trop Fort j'mabonne 🤣,1
Merci j'ai kiffé comme d'habitude,5
"Pour le prochain msf, je propose le premier beetlejuice ( le 2 est en salle et on entre en période d Halloween )",4
Pourquoi pas edward aux mains d’argent ? Je vois déjà le costume,1
J'aimerais beaucoup que tu continues dragon avec dragon 2,5
"Les enfants ne vont pas avoir peur d'anxiété, au contraire ils sauront l'identifier ce qui est pas du luxe.",3
"Beaucoup de sel dans cette vidéo, ça change du ton habituel je trouve.",3
"Personnellement je trouve que cette suite est à la hauteur du premier, ce qui est un miracle vu comme la barre était haute.",3
7:46 Tout ça on le développe bien plus tard,5
4:19 honnêtement je préfère captain nord vpn.,3
"Math en vrai si tu à le temps un jours, fait Snatch je suis sur que ça rendrai trop bien avec ton format, vue les personnage et l'histoire surtout que c'est un de mes films favoris 😂",4
"9:23 Riley qui développe l'œil de Christian Gray. En effet, ça ne sent pas bon..",4
"Bonjour, ""La Fée Clochette"" ça ne vous dit pas? A moi si :):)",1
13:30 t'es reçue bitch tu seras sur le banc de réserve XD,1
"Merde , excellent 🤣🤣🤣",5
1:26,1
« Dégoût »,1
« Tchippppp »,3
Halloween tu la jamais fait,1
TWILIGHT DERNIERE PARTIE !,5
Tu nous as manqué ❤,1
Ton déguisement de peur et son imitation me font mourir de rire 🤣🤣🤣,5
Le hobbit : la désolation de Smaug !!,5
C'est déjà terminé ?? Trop dommage,1
56:00,1
69:00,1
Moi je voudrais bien le Parrain.,3
Ce serait tellement bien qu’il fasse Anastasia. Math en Raspoutine 🤩😂,5
Ce serait tellement bien qu’il fasse Anastasia. Math en Raspoutine 🤩😂,5
Un MSF sur Beetlejuice !,5
"10:01, le fait qu'il a la même voix que kevin dans paradise police donne une sacrée tournure à la vidéo 😂😂😂",5
Finis Twilight !!,5
"Je propose Beetlejuice, en plus le 2ème film est sorti il n'y a pas longtemps !",5
"En plus, niveaux costumes, je pense que ça peut être drôle x)",4
Jurassic world le monde d'après stpppppp🦖🦕,5
Vrm incroyable continue 🎉🎉,5
Merci Math,5
Inglorious Bastards!!!!,5
Corpse Bride!!!,5
En vrai un Star Wars des familles serait au top (:,5
"""Be humble, sit down"" hhahahahahaha xD",1
Je l'attendais cet épisode,3
"Ooohh « Vice-versa 2 » ! Bon choix, ça fait plaisir pour le retour des MSF ! 😁👍",2
"Pour le prochain ce serait cool de faire « Totoro » 😃 (il avait faillit être choisi une fois et on a envie de voir le costume 😂, en plus les 2 précédentes parodies de Ghibli étaient très réussies)",3
Comment bien finir sa semaine de travail ❤,5
"Le 5ème élément, du haut potentiel de souillage 👌",5
Sleepy Hollow,4
Les Éternels,5
Spirit,5
8:58 teeeeellement bien placé je suis à terre,5
Il y a eu un glow up sur les costumes non?,2
Deadpool et wolverine,4
Winnie the pooh: blood and honey,5
C’est long 2 semaines… tu vas quand même pas me laisser tout seul avec toutes ces émotions chelou qui vivent là-dedans ! Je ne veux pas finir comme Riley 😂,5
👍 !!,5
"Vice-Versa avait besoin de cette suite, pour que les enfants qui ont grandi avec Riley ait un autre film qui retranscrit leurs émotions! Et j'espère qu'il y aura un 3, qui montre le passage à l'âge adulte 😊.",4
Voyage au centre de la Terre où Eldorado,5
"13:07 la référence qux Simpsons, excellent! Je n'avais pas vu la ressemble jusqu'à ce que tu la mentionnes @MATH",5
Deadpool et wolverine ça serait teeeeellement bien !!,4
J'ai kiffé le film buzz l'éclair suis je étrange ?,1
10:58 😂 j'adore l'interprétation x''D,5
6:22 c'est bien trouvé ^^,4
"coucou , je tes suis depuis longtemps et j adore ce que tu fait .il y a un film que je reverais que tu fasse , c est la 5eme vague , ce serais genial",5
Child's play,4
"J'peux plus liker car on m'a prélevé mes pouces (afin de compléter une man d'enfer. 🤷🏻‍♂️ ja pas compris. Ha oui, voilà 🤟🏼)",3
"Bref, comme j'aime bien ta vidéo, j'écris en vitesse, n'importe quoi pour attirer l'attention d'Algo.",5
"Tiens, pour l'attirer plus vite j'y dépose des tulips 💐Il adore sa.",5
Bisous Loulous 🥰,2
ICY San 🩵,5
Le souillage de Arcane serait incroyable,2
"PROFS (avec Patrick Bruel, Laurent Gamelon, Fabrice Luchini, etc...).",5
3:58 : Qu'est-ce qu'elle a dit ?,3
Une nouvelle Masterclass comme d’hab’,5
"Salut Math ! J'aimerais trop que tu parodies Kirikou haha ! En tout cas, sacré travail que tu fais, merci !! ;)",5
Dedpoul 3,3
13:06 🤣🤣,1
"🟪🟪 2:33   La "" gueule "" du ga à gauche 🤣🤣🤣",1
Ouuuuuuuh que ça fait du bien de revenir aux bases !!!,3
Maintenant me semble qu'il y a des sagas à finir :D,3
Beetlejuice,5
Pourquoi peur est belge ??,1
"Est-ce que tu peux faire ""le comte de monté cristo"" ?",3
Pas mal le fait d'insuffler l'ennui par le téléphone (on peut s'ennuyer dans plein d'autres circonstances mais le film s'adresse aux enfants d'aujourd'hui),3
En suggestion j’adorerais avoir la suite des high school musical! Ou alors une entrée dans le monde merveilleux des films barbie 😆,5
"Sinon pour revenir au film, j’ai adoré Vice Versa 2, même plus que le 1 car je m’y suis énormément retrouvée, surtout dans anxiété. Le fait de vouloir tout contrôler pour ne pas avoir mal, d’avoir un cerveau bouillonnant à longueur de journée (au point comme dans le film d’imaginer des scénarios potentiels pendant la nuit pour être parée à toute éventualité, au détriment du sommeil hélas), la représentation de la crise de panique très accurate, et ce cri de désespoir dans la tête de Riley ""j’ai besoin d’aide"" m’a fait fondre en larmes dans le cinéma. Je trouve sincèrement que ce deuxième opus et aussi qualitatif que le premier, que les scénaristes ont vraiment bossé sur les émotions et que le sous texte est vraiment important, autant pour ceux qui sont concernés que pour ceux qui ne le sont pas et qui pourront comprendre un peu mieux comment fonctionne une personne dans ce cas. Et non ça fait pas de nous des psychopathes, au contraire 😅. Et d’ailleurs je note le fait que Mathieu dise que les amies de riley sont patientes avec elle et que beaucoup l’auraient déjà laissée tomber, prenez exemple sur les filles du film, c'est des fois pas simple d’aligner un mot devant l’autre pour certaines personnes et on peut dire ou faire des trucs bizarres ou gênants, donc oui c'est agréable et encourageant d’avoir des personnes qui ne nous tournent pas le dos à la première ""étrangeté"". On ne fonctionne pas tous pareils, donc apprenez à aller vers des personnes ""en marge"" des normes, elles ont beaucoup à offrir une fois qu'elles accordent leur confiance 🤗",5
Vaina 2 est bientôt au cinéma,5
La suite du Hobbit pitié c'était une folie le premier 😭🙏,5
donjons et dragons le film !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
Hhh la partie sur les croyances me tue 😂 ça commence très bien !❤,5
"Et bah autant j’ai pleuré devant le film, autant ce résumé m’a fait hurler de rire 🤣",1
Peut tu faire Cars,3
Ça donnerait quoi Deadpool et Wolverine version math 😂😂😂,4
J'aimerais trop que tu fasses Beetlejuice pour halloween !,5
J'adore tes vidéos math,5
DEADPOOL 3 !!!!!!!!!!!,5
"Perso je voudrais bien voir Belle et Sebastien, ça serais drôle de voir Math avec les costume",3
"J'aimerais trop deux films qui sont mes deux films préférés : Grease et La belle et le clochard!☺️Mais peu importe le film que tu choisiras, ta vidéo sera super!",5
"Continue comme ça Math, on adore tes vidéos !☺️",5
Hahahah MON PERE IL ETAIT CHARON !,1
10:09 Génial  🤣🤣😂,5
Beetlejuice Beetlejuice !,5
Le dernier Twilight serait parfait @MATH 👍💕,5
je déverrouilles  une nouvelle émotion parce que MATH est ultra sexy en brune - sans les boucles pour moi stp -,5
Pourquoi pas le comte de Monte-Cristo,1
Ça fait 3ans je l'attend mon chocolat😢,5
Hey ! Top vidéo comme d'habitude 😊,5
J'aimerais bien que tu souilles Eyes wide shot !,4
"""Tu veux peut-être pisser tes premières règles par le nez chérie ?""😭😭😭😭😭😭😭",1
High School Musical 2 ! (Toujours au top tes vidéos),5
Je veux bien voir avec le deadpool et wolverine 😊😊😊,4
"Je kifferai pour le mois d'octobre un MSF sur Carrie (1976), Halloween ou Orphan first kill !",1
Un MSF sur Ghostbuster je dis pas non !!,1
Toujours aussiii drôle ! ! 🤣🤣,5
Tu pourrais faire divergente 2 stp ❤❤,3
Tu peux faire Hunger Games ? Emblème des distopies ❤,1
Mec énorme cette vidéo haha,5
Fais lalaland stp,3
Le filme à contre sens sur prim,1
Twilight !!,5
IL NOUS FAUT DEADPOOL ET WOLVERINE,3
deadpool 3,4
"Pisser tes premières règles par le nez, MDR 😂😂😂",1
Beyblade le film stp,5
Zoo de Kaaris et Pixar la connexion improbable 🤣Tu m'as tué de rire !!!,1
"Encore une pépite, tu nous déçois jamais MATH !",5
"Pour un prochain MSF je propose Jurassic world 3, question de terminer la trilogie ^^",3
tu peux faire dragon 2 stp,5
TWILIGHT !!!,5
"Le Film Lou, journal infime, je me dis qu'on pourrait bien se marrer. 🤣🤣🤣",1
Toujours aussi drôle 🔥,5
J’ai était désabonner 😐 ça va jai pas raté de vidéo,1
La suite du Hobbit,5
Vayana 2,3
cars,4
La suite des Rocky 😉,5
"Le "" Wasted "" m'a terminé 😭🤣🤣.",2
J'ai encore fait caca dans mon froc 👀🤪 !!,5
"Y'a pas à dire, c'est MATH le meilleur niveau humour 😭👌🏻 !!",5
Incroyable vraiment un excellent msf de  ☺️,5
- Le Hobbit : la desolation de Smaug,4
Ou,3
- Star Wars : La  revanche des Siths !,5
Merci pour cet ep ! C'était trop bien !,5
j'aimerai trop voir deadpool and wolverine,3
Fais cobra kai stp!!!!!,5
Le magasin des suicides ! Un excellent film qui pourrait être tres drôle une fois parodié,5
"Et le film ""Trap"" qui est sorti y'a pas longtemps ! J'ai adoré ce film action-horreur, impossible de s'ennuyer pendant le film ! 😂",2
Deadpool et Wolverine le film stp,4
Comment un truc qui est sensé être gratuit 30 peut être satisfait ou remboursé 🤔,1
13:09 tahiti bob 😂😂😂,4
10:42 un personnage de smash bros inoffensif ridicule mais degout est amoureuse de lui,1
C'est fou comme colère ressemble plus anxiété que à colère 😂,1
10:20 il parle a un mur ou son ombre,1
10:14 un fusil 😂😂😂,1
Génial un nouvel épisode,5
1:52 les jumelles c'est lemmy de toy story ça veut dire qu'il va revenir dans toy story 5,3
